path,start_line,end_line,kind,declared_purpose,actual_behavior,origin_alignment,utility,status,recommended_action,evidence
beagle-ide/src-tauri/src/serendipity/mod.rs,412,420,scope-drift,Repository support code/documentation.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ide/src-tauri/src/serendipity/mod.rs,421,439,scope-drift,Repository support code/documentation.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ide/src-tauri/src/serendipity/scheduler.rs,1,6,stub,Repository support code/documentation.,Contains placeholder/mock/TODO/not-implemented signals; behavior cannot be trusted as complete.,low,do not trust; replace or delete,incomplete,Replace with real implementation or mark non-production.,path classification: stub
beagle-ide/src-tauri/src/serendipity/scheduler.rs,7,11,stub,Repository support code/documentation.,Contains placeholder/mock/TODO/not-implemented signals; behavior cannot be trusted as complete.,low,do not trust; replace or delete,incomplete,Replace with real implementation or mark non-production.,path classification: stub
beagle-ide/src-tauri/src/serendipity/scheduler.rs,12,12,stub,Repository support code/documentation.,Contains placeholder/mock/TODO/not-implemented signals; behavior cannot be trusted as complete.,low,do not trust; replace or delete,incomplete,Replace with real implementation or mark non-production.,path classification: stub
beagle-ide/src-tauri/src/serendipity/scheduler.rs,13,20,stub,Repository support code/documentation.,Contains placeholder/mock/TODO/not-implemented signals; behavior cannot be trusted as complete.,low,do not trust; replace or delete,incomplete,Replace with real implementation or mark non-production.,path classification: stub
beagle-ide/src-tauri/src/serendipity/scheduler.rs,21,28,stub,Repository support code/documentation.,Contains placeholder/mock/TODO/not-implemented signals; behavior cannot be trusted as complete.,low,do not trust; replace or delete,incomplete,Replace with real implementation or mark non-production.,path classification: stub
beagle-ide/src-tauri/src/serendipity/scheduler.rs,29,37,stub,Repository support code/documentation.,Contains placeholder/mock/TODO/not-implemented signals; behavior cannot be trusted as complete.,low,do not trust; replace or delete,incomplete,Replace with real implementation or mark non-production.,stub/mock/TODO keyword
beagle-ide/src-tauri/tauri.conf.json,1,43,scope-drift,Apple cockpit/client surface.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ide/src/components/MainView.tsx,1,8,uncertain,Repository support code/documentation.,Unclear relation to core from automated scan; needs human review before preservation.,unknown,review manually,unknown,Manual review before expanding or deleting.,core-term
beagle-ide/src/components/MainView.tsx,9,12,scope-drift,Repository support code/documentation.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ide/src/components/MainView.tsx,13,13,scope-drift,Repository support code/documentation.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ide/src/components/MainView.tsx,14,29,scope-drift,Repository support code/documentation.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ide/src/components/Sidebar.tsx,1,5,scope-drift,Repository support code/documentation.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ide/src/components/Sidebar.tsx,6,13,scope-drift,Repository support code/documentation.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ide/src/components/Sidebar.tsx,14,14,scope-drift,Repository support code/documentation.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ide/src/components/Sidebar.tsx,15,34,scope-drift,Repository support code/documentation.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ide/src/store.ts,1,4,scope-drift,Repository support code/documentation.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ide/src/store.ts,5,6,scope-drift,Repository support code/documentation.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ide/src/store.ts,7,14,scope-drift,Repository support code/documentation.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ide/src/store.ts,15,21,scope-drift,Repository support code/documentation.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ide/src/store.ts,22,36,scope-drift,Repository support code/documentation.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,drift-term
beagle-ide/src/store.ts,37,60,scope-drift,Repository support code/documentation.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ide/src/store.ts,61,61,scope-drift,Repository support code/documentation.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ide/src/store.ts,62,86,scope-drift,Repository support code/documentation.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ide/src/store.ts,87,107,scope-drift,Repository support code/documentation.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ios/.gitignore,1,26,scope-drift,Apple cockpit/client surface.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ios/Assets.xcassets/AppIcon.appiconset/Contents.json,1,35,scope-drift,Apple cockpit/client surface.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ios/Assets.xcassets/BeagleWatchAppIcon.appiconset/Contents.json,1,12,scope-drift,Apple cockpit/client surface.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,drift-term
beagle-ios/Assets.xcassets/Contents.json,1,6,scope-drift,Apple cockpit/client surface.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ios/Assets/AppIcon.appiconset/Contents.json,1,12,scope-drift,Apple cockpit/client surface.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,drift-term
beagle-ios/BeagleApp/ContentView.swift,1,8,scope-drift,Apple cockpit/client surface.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ios/BeagleApp/ContentView.swift,9,15,scope-drift,Apple cockpit/client surface.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ios/BeagleApp/ContentView.swift,16,17,scope-drift,Apple cockpit/client surface.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ios/BeagleApp/ContentView.swift,18,28,scope-drift,Apple cockpit/client surface.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ios/BeagleApp/ContentView.swift,29,29,scope-drift,Apple cockpit/client surface.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ios/BeagleApp/ContentView.swift,30,30,scope-drift,Apple cockpit/client surface.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ios/BeagleApp/ContentView.swift,31,31,scope-drift,Apple cockpit/client surface.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ios/BeagleApp/ContentView.swift,32,32,scope-drift,Apple cockpit/client surface.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ios/BeagleApp/ContentView.swift,33,33,scope-drift,Apple cockpit/client surface.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ios/BeagleApp/ContentView.swift,34,43,scope-drift,Apple cockpit/client surface.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ios/BeagleApp/ContentView.swift,44,48,scope-drift,Apple cockpit/client surface.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ios/BeagleApp/ContentView.swift,49,56,scope-drift,Apple cockpit/client surface.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ios/BeagleApp/ContentView.swift,57,57,scope-drift,Apple cockpit/client surface.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ios/BeagleApp/ContentView.swift,58,85,scope-drift,Apple cockpit/client surface.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ios/BeagleApp/ContentView.swift,86,87,scope-drift,Apple cockpit/client surface.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ios/BeagleApp/ContentView.swift,88,88,uncertain,Persistent memory/MCP access layer for exocortex continuity.,Unclear relation to core from automated scan; needs human review before preservation.,unknown,review manually,unknown,Manual review before expanding or deleting.,core-term
beagle-ios/BeagleApp/ContentView.swift,89,107,uncertain,Persistent memory/MCP access layer for exocortex continuity.,Unclear relation to core from automated scan; needs human review before preservation.,unknown,review manually,unknown,Manual review before expanding or deleting.,core-term
beagle-ios/BeagleApp/ContentView.swift,108,108,scope-drift,Apple cockpit/client surface.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ios/BeagleApp/ContentView.swift,109,110,scope-drift,Apple cockpit/client surface.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ios/BeagleApp/ContentView.swift,111,114,scope-drift,Apple cockpit/client surface.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ios/BeagleApp/ContentView.swift,115,119,scope-drift,Apple cockpit/client surface.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ios/BeagleApp/ContentView.swift,120,124,scope-drift,Apple cockpit/client surface.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ios/BeagleApp/ContentView.swift,125,129,scope-drift,Apple cockpit/client surface.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ios/BeagleApp/ContentView.swift,130,134,scope-drift,Apple cockpit/client surface.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ios/BeagleApp/ContentView.swift,135,146,scope-drift,Apple cockpit/client surface.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ios/BeagleApp/ContentView.swift,147,166,scope-drift,Apple cockpit/client surface.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,drift-term
beagle-ios/BeagleApp/ContentView.swift,167,167,scope-drift,Apple cockpit/client surface.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ios/BeagleApp/ContentView.swift,168,173,scope-drift,Apple cockpit/client surface.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ios/BeagleApp/ContentView.swift,174,174,scope-drift,Apple cockpit/client surface.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ios/BeagleApp/ContentView.swift,175,175,scope-drift,Apple cockpit/client surface.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ios/BeagleApp/ContentView.swift,176,176,scope-drift,Apple cockpit/client surface.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ios/BeagleApp/ContentView.swift,177,185,scope-drift,Apple cockpit/client surface.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ios/BeagleApp/ContentView.swift,186,189,uncertain,Darwin scientific compute/PBPK/Julia/HPC migration surface.,Unclear relation to core from automated scan; needs human review before preservation.,unknown,review manually,unknown,Manual review before expanding or deleting.,core-term
beagle-ios/BeagleApp/ContentView.swift,190,197,uncertain,Darwin scientific compute/PBPK/Julia/HPC migration surface.,Unclear relation to core from automated scan; needs human review before preservation.,unknown,review manually,unknown,Manual review before expanding or deleting.,core-term
beagle-ios/BeagleApp/ContentView.swift,198,198,scope-drift,Apple cockpit/client surface.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ios/BeagleApp/ContentView.swift,199,199,scope-drift,Apple cockpit/client surface.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ios/BeagleApp/ContentView.swift,200,202,scope-drift,Apple cockpit/client surface.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ios/BeagleApp/ContentView.swift,203,212,scope-drift,Apple cockpit/client surface.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ios/BeagleApp/ContentView.swift,213,213,scope-drift,Apple cockpit/client surface.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ios/BeagleApp/ContentView.swift,214,214,scope-drift,Apple cockpit/client surface.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ios/BeagleApp/ContentView.swift,215,218,scope-drift,Apple cockpit/client surface.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ios/BeagleApp/ContentView.swift,219,219,scope-drift,Apple cockpit/client surface.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ios/BeagleApp/ContentView.swift,220,220,scope-drift,Apple cockpit/client surface.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ios/BeagleApp/ContentView.swift,221,221,scope-drift,Apple cockpit/client surface.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ios/BeagleApp/ContentView.swift,222,222,scope-drift,Apple cockpit/client surface.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ios/BeagleApp/ContentView.swift,223,225,scope-drift,Apple cockpit/client surface.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ios/BeagleApp/ContentView.swift,226,228,scope-drift,Apple cockpit/client surface.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ios/BeagleApp/ContentView.swift,229,248,scope-drift,Apple cockpit/client surface.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ios/BeagleApp/ContentView.swift,249,249,scope-drift,Apple cockpit/client surface.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ios/BeagleApp/ContentView.swift,250,250,scope-drift,Apple cockpit/client surface.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ios/BeagleApp/ContentView.swift,251,251,scope-drift,Apple cockpit/client surface.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ios/BeagleApp/ContentView.swift,252,252,scope-drift,Apple cockpit/client surface.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ios/BeagleApp/ContentView.swift,253,254,scope-drift,Apple cockpit/client surface.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ios/BeagleApp/ContentView.swift,255,269,scope-drift,Apple cockpit/client surface.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ios/BeagleApp/ContentView.swift,270,271,scope-drift,Apple cockpit/client surface.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ios/BeagleApp/ContentView.swift,272,284,scope-drift,Apple cockpit/client surface.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ios/BeagleApp/ContentView.swift,285,293,scope-drift,Apple cockpit/client surface.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ios/BeagleApp/ContentView.swift,294,295,scope-drift,Apple cockpit/client surface.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ios/BeagleApp/ContentView.swift,296,296,scope-drift,Apple cockpit/client surface.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ios/BeagleApp/ContentView.swift,297,297,scope-drift,Apple cockpit/client surface.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ios/BeagleApp/ContentView.swift,298,300,scope-drift,Apple cockpit/client surface.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ios/BeagleApp/ContentView.swift,301,318,scope-drift,Apple cockpit/client surface.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ios/BeagleApp/ContentView.swift,319,319,scope-drift,Apple cockpit/client surface.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ios/BeagleApp/ContentView.swift,320,332,scope-drift,Apple cockpit/client surface.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ios/BeagleApp/ContentView.swift,333,339,scope-drift,Apple cockpit/client surface.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ios/BeagleApp/ContentView.swift,340,340,scope-drift,Apple cockpit/client surface.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ios/BeagleApp/ContentView.swift,341,343,scope-drift,Apple cockpit/client surface.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ios/BeagleApp/ContentView.swift,344,354,scope-drift,Apple cockpit/client surface.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ios/BeagleApp/ContentView.swift,355,362,scope-drift,Apple cockpit/client surface.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ios/BeagleApp/ContentView.swift,363,363,scope-drift,Apple cockpit/client surface.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ios/BeagleApp/ContentView.swift,364,364,scope-drift,Apple cockpit/client surface.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ios/BeagleApp/ContentView.swift,365,367,scope-drift,Apple cockpit/client surface.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ios/BeagleApp/ContentView.swift,368,380,scope-drift,Apple cockpit/client surface.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ios/BeagleApp/ContentView.swift,381,382,scope-drift,Apple cockpit/client surface.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ios/BeagleApp/ContentView.swift,383,391,scope-drift,Apple cockpit/client surface.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ios/BeagleApp/ContentView.swift,392,393,scope-drift,Apple cockpit/client surface.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ios/BeagleApp/ContentView.swift,394,395,scope-drift,Apple cockpit/client surface.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ios/BeagleApp/ContentView.swift,396,412,scope-drift,Apple cockpit/client surface.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ios/BeagleApp/ContentView.swift,413,413,scope-drift,Apple cockpit/client surface.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ios/BeagleApp/ContentView.swift,414,414,scope-drift,Apple cockpit/client surface.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ios/BeagleApp/ContentView.swift,415,418,scope-drift,Apple cockpit/client surface.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ios/BeagleApp/ContentView.swift,419,422,scope-drift,Apple cockpit/client surface.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ios/BeagleApp/ContentView.swift,423,442,scope-drift,Apple cockpit/client surface.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ios/BeagleApp/ContentView.swift,443,448,scope-drift,Apple cockpit/client surface.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ios/BeagleApp/ContentView.swift,449,452,scope-drift,Apple cockpit/client surface.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,drift-term
beagle-ios/BeagleApp/ContentView.swift,453,464,scope-drift,Apple cockpit/client surface.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ios/BeagleApp/ContentView.swift,465,468,scope-drift,Apple cockpit/client surface.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ios/BeagleApp/ContentView.swift,469,478,scope-drift,Apple cockpit/client surface.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
beagle-ios/BeagleApp/ContentView.swift,479,484,scope-drift,Apple cockpit/client surface.,Expands surface away from original Darwin scientific exocortex unless explicitly wired to core workflow.,low,freeze/quarantine,drift,Freeze; prove utility before further work.,path classification: scope-drift
